nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
show me successful login events by user alice from ip 192.168.1.100 on app-server-03 in the last 24 hours in security log,success,today,alice,auth,192.168.1.100,app-server-03,*,*,action=success user=alice source=auth src_ip=192.168.1.100 hostname=app-server-03 earliest=@d latest=now,2025-10-04T12:00:26
give me restart events by user jsmith in the last 24 hours in filesystem,restart,today,jsmith,filesystem,*,*,*,*,action=restart user=jsmith source=filesystem earliest=@d latest=now,2025-10-04T05:09:26
show me info service restart events by user root since midnight in firewall,restart,today,root,firewall,*,*,info,*,action=restart user=root source=firewall severity=info earliest=@d latest=now,2025-10-04T04:11:26
show me warning successful login events by user jsmith on firewall-01 the previous day in db,success,yesterday,jsmith,database,*,firewall-01,warning,*,action=success user=jsmith source=database hostname=firewall-01 severity=warning earliest=@d-1d latest=@d,2025-10-03T02:14:26
give me file deletion events by user alice last 30 days in db,deletion,last30d,alice,database,*,*,*,*,action=deletion user=alice source=database earliest=-30d@d latest=now,2025-09-30T12:23:26
display upload events by user root past 60 minutes in event viewer,upload,last1h,root,windows,*,*,*,*,action=upload user=root source=windows earliest=-60m latest=now,2025-10-04T12:19:26
find restart events by user root last hour in event viewer,restart,last1h,root,windows,*,*,*,*,action=restart user=root source=windows earliest=-60m latest=now,2025-10-04T12:21:26
pull up error logins events by user jsmith from ip 10.0.0.1 with status 502 yesterday in file system,login,yesterday,jsmith,filesystem,10.0.0.1,*,error,502,action=login user=jsmith source=filesystem src_ip=10.0.0.1 severity=error status_code=502 earliest=@d-1d latest=@d,2025-10-03T03:17:26
give me failed login events by user alice from ip 192.168.0.1 yesterday in firewall,failure,yesterday,alice,firewall,192.168.0.1,*,*,*,action=failure user=alice source=firewall src_ip=192.168.0.1 earliest=@d-1d latest=@d,2025-10-03T22:52:26
pull up download events by user root last 24 hours in authentication log,download,last24h,root,auth,*,*,*,*,action=download user=root source=auth earliest=-24h latest=now,2025-10-04T04:23:26
display logout events by user admin with status 500 past 60 minutes in nginx,logout,last1h,admin,web,*,*,*,500,action=logout user=admin source=web status_code=500 earliest=-60m latest=now,2025-10-04T12:08:26
find sign off events by user admin from ip 10.0.0.1 since midnight in server,logout,today,admin,host,10.0.0.1,*,*,*,action=logout user=admin source=host src_ip=10.0.0.1 earliest=@d latest=now,2025-10-04T00:07:26
show me upload events with status 502 the previous day in web server,upload,yesterday,*,web,*,*,*,502,action=upload source=web status_code=502 earliest=@d-1d latest=@d,2025-10-03T22:47:26
give me upload events by user admin from ip 10.10.10.5 on web-server-01 this month in secure shell,upload,last30d,admin,ssh,10.10.10.5,web-server-01,*,*,action=upload user=admin source=ssh src_ip=10.10.10.5 hostname=web-server-01 earliest=-30d@d latest=now,2025-09-06T12:23:26
show me request events by user anonymous yesterday in web server,access,yesterday,anonymous,web,*,*,*,*,action=access user=anonymous source=web earliest=@d-1d latest=@d,2025-10-03T18:05:26
pull up authentication events by user root from ip 10.0.0.1 this week in network security,login,last7d,root,firewall,10.0.0.1,*,*,*,action=login user=root source=firewall src_ip=10.0.0.1 earliest=-7d@d latest=now,2025-10-04T12:23:26
show me service restart events by user jsmith with status 503 past week in nginx,restart,last7d,jsmith,web,*,*,*,503,action=restart user=jsmith source=web status_code=503 earliest=-7d@d latest=now,2025-09-28T12:23:26
give me download events by user admin last 7 days in firewall logs,download,last7d,admin,firewall,*,*,*,*,action=download user=admin source=firewall earliest=-7d@d latest=now,2025-10-03T12:23:26
pull up error events by user admin the previous day in file system,error,yesterday,admin,filesystem,*,*,*,*,action=error user=admin source=filesystem earliest=@d-1d latest=@d,2025-10-03T17:22:26
pull up failed login events by user jsmith with status 200 since yesterday in server,failure,last24h,jsmith,host,*,*,*,200,action=failure user=jsmith source=host status_code=200 earliest=-24h latest=now,2025-10-04T12:23:26
find failure events past week in ssh,error,last7d,*,ssh,*,*,*,*,action=error source=ssh earliest=-7d@d latest=now,2025-10-04T12:23:26
find info logins events by user admin on db-prod-02 this month in server,login,last30d,admin,host,*,db-prod-02,info,*,action=login user=admin source=host hostname=db-prod-02 severity=info earliest=-30d@d latest=now,2025-09-29T12:23:26
give me file download events by user alice on load-balancer with status 500 last 24 hours in host,download,last24h,alice,host,*,load-balancer,*,500,action=download user=alice source=host hostname=load-balancer status_code=500 earliest=-24h latest=now,2025-10-04T04:23:26
pull up sign off events by user root last hour in secure shell,logout,last1h,root,ssh,*,*,*,*,action=logout user=root source=ssh earliest=-60m latest=now,2025-10-04T11:34:26
list failure events by user root from ip 10.0.0.1 past 60 minutes in machine,error,last1h,root,host,10.0.0.1,*,*,*,action=error user=root source=host src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T11:45:26
display informational restart events by user alice from ip 192.168.1.100 with status 404 last 30 days in secure shell,restart,last30d,alice,ssh,192.168.1.100,*,info,404,action=restart user=alice source=ssh src_ip=192.168.1.100 severity=info status_code=404 earliest=-30d@d latest=now,2025-09-19T12:23:26
show me file deletion events by user bob with status 200 this month in secure shell,deletion,last30d,bob,ssh,*,*,*,200,action=deletion user=bob source=ssh status_code=200 earliest=-30d@d latest=now,2025-09-16T12:23:26
display file download events by user admin on firewall-01 the previous day in secure shell,download,yesterday,admin,ssh,*,firewall-01,*,*,action=download user=admin source=ssh hostname=firewall-01 earliest=@d-1d latest=@d,2025-10-03T12:49:26
show me critical authentication events by user root in the last 24 hours in firewall,login,today,root,firewall,*,*,critical,*,action=login user=root source=firewall severity=critical earliest=@d latest=now,2025-10-04T10:54:26
pull up sign off events by user alice on app-server-03 past week in auth log,logout,last7d,alice,auth,*,app-server-03,*,*,action=logout user=alice source=auth hostname=app-server-03 earliest=-7d@d latest=now,2025-10-02T12:23:26
pull up failed login events by user anonymous with status 500 in the last 24 hours in server,failure,today,anonymous,host,*,*,*,500,action=failure user=anonymous source=host status_code=500 earliest=@d latest=now,2025-10-04T04:37:26
display warning service restart events by user admin on web-server-01 past 60 minutes in secure shell,restart,last1h,admin,ssh,*,web-server-01,warning,*,action=restart user=admin source=ssh hostname=web-server-01 severity=warning earliest=-60m latest=now,2025-10-04T11:58:26
give me auth success events by user admin from ip 192.168.1.100 since midnight in authentication log,success,today,admin,auth,192.168.1.100,*,*,*,action=success user=admin source=auth src_ip=192.168.1.100 earliest=@d latest=now,2025-10-04T06:49:26
show me service restart events by user alice the previous day in nginx,restart,yesterday,alice,web,*,*,*,*,action=restart user=alice source=web earliest=@d-1d latest=@d,2025-10-03T22:35:26
list logins events by user root from ip 10.0.0.1 last hour in authentication log,login,last1h,root,auth,10.0.0.1,*,*,*,action=login user=root source=auth src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T11:47:26
show me warning failed login events by user jsmith past 60 minutes in apache,failure,last1h,jsmith,web,*,*,warning,*,action=failure user=jsmith source=web severity=warning earliest=-60m latest=now,2025-10-04T12:22:26
pull up service restart events by user alice from ip 192.168.0.1 last hour in firewall logs,restart,last1h,alice,firewall,192.168.0.1,*,*,*,action=restart user=alice source=firewall src_ip=192.168.0.1 earliest=-60m latest=now,2025-10-04T11:45:26
list file download events by user alice from ip 192.168.0.1 on firewall-01 last 24 hours in server,download,last24h,alice,host,192.168.0.1,firewall-01,*,*,action=download user=alice source=host src_ip=192.168.0.1 hostname=firewall-01 earliest=-24h latest=now,2025-10-03T23:23:26
show me error service restart events with status 200 the previous day in network security,restart,yesterday,*,firewall,*,*,error,200,action=restart source=firewall severity=error status_code=200 earliest=@d-1d latest=@d,2025-10-03T12:14:26
give me download events by user anonymous with status 502 in the last 24 hours in machine,download,today,anonymous,host,*,*,*,502,action=download user=anonymous source=host status_code=502 earliest=@d latest=now,2025-10-04T10:09:26
find error delete events by user alice from ip 192.168.1.100 last hour in secure shell,deletion,last1h,alice,ssh,192.168.1.100,*,error,*,action=deletion user=alice source=ssh src_ip=192.168.1.100 severity=error earliest=-60m latest=now,2025-10-04T12:21:26
give me download events by user bob last 24 hours in file system,download,last24h,bob,filesystem,*,*,*,*,action=download user=bob source=filesystem earliest=-24h latest=now,2025-10-03T22:23:26
list informational delete events by user jsmith since yesterday in database,deletion,last24h,jsmith,database,*,*,info,*,action=deletion user=jsmith source=database severity=info earliest=-24h latest=now,2025-10-03T13:23:26
find crit sign off events since yesterday in event viewer,logout,last24h,*,windows,*,*,critical,*,action=logout source=windows severity=critical earliest=-24h latest=now,2025-10-04T08:23:26
list successful login events by user anonymous on load-balancer last 30 days in db,success,last30d,anonymous,database,*,load-balancer,*,*,action=success user=anonymous source=database hostname=load-balancer earliest=-30d@d latest=now,2025-09-16T12:23:26
display info file download events by user bob from ip 192.168.1.100 today in firewall,download,today,bob,firewall,192.168.1.100,*,info,*,action=download user=bob source=firewall src_ip=192.168.1.100 severity=info earliest=@d latest=now,2025-10-04T12:18:26
display file deletion events by user anonymous today in database,deletion,today,anonymous,database,*,*,*,*,action=deletion user=anonymous source=database earliest=@d latest=now,2025-10-04T09:49:26
show me file deletion events by user jsmith on load-balancer with status 200 this month in filesystem,deletion,last30d,jsmith,filesystem,*,load-balancer,*,200,action=deletion user=jsmith source=filesystem hostname=load-balancer status_code=200 earliest=-30d@d latest=now,2025-10-02T12:23:26
give me warn upload events by user admin yesterday in event viewer,upload,yesterday,admin,windows,*,*,warning,*,action=upload user=admin source=windows severity=warning earliest=@d-1d latest=@d,2025-10-03T04:42:26
give me authentication events by user bob from ip 192.168.0.1 with status 500 last 30 days in machine,login,last30d,bob,host,192.168.0.1,*,*,500,action=login user=bob source=host src_ip=192.168.0.1 status_code=500 earliest=-30d@d latest=now,2025-09-05T12:23:26
give me download events by user admin on db-prod-02 with status 403 since midnight in windows,download,today,admin,windows,*,db-prod-02,*,403,action=download user=admin source=windows hostname=db-prod-02 status_code=403 earliest=@d latest=now,2025-10-04T00:22:26
pull up delete events by user admin on firewall-01 past 60 minutes in network security,deletion,last1h,admin,firewall,*,firewall-01,*,*,action=deletion user=admin source=firewall hostname=firewall-01 earliest=-60m latest=now,2025-10-04T11:35:26
display file upload events by user admin last 30 days in network security,upload,last30d,admin,firewall,*,*,*,*,action=upload user=admin source=firewall earliest=-30d@d latest=now,2025-09-19T12:23:26
give me login failure events by user bob since yesterday in firewall logs,failure,last24h,bob,firewall,*,*,*,*,action=failure user=bob source=firewall earliest=-24h latest=now,2025-10-03T13:23:26
list warning login failure events the previous day in database,failure,yesterday,*,database,*,*,warning,*,action=failure source=database severity=warning earliest=@d-1d latest=@d,2025-10-03T20:30:26
show me restart events by user bob from ip 10.10.10.5 in the last 24 hours in event viewer,restart,today,bob,windows,10.10.10.5,*,*,*,action=restart user=bob source=windows src_ip=10.10.10.5 earliest=@d latest=now,2025-10-04T10:44:26
find failed login events by user anonymous from ip 10.10.10.5 this month in network security,failure,last30d,anonymous,firewall,10.10.10.5,*,*,*,action=failure user=anonymous source=firewall src_ip=10.10.10.5 earliest=-30d@d latest=now,2025-09-12T12:23:26
show me restart events by user anonymous since midnight in firewall,restart,today,anonymous,firewall,*,*,*,*,action=restart user=anonymous source=firewall earliest=@d latest=now,2025-10-04T06:25:26
give me download events by user bob last 7 days in ssh,download,last7d,bob,ssh,*,*,*,*,action=download user=bob source=ssh earliest=-7d@d latest=now,2025-10-03T12:23:26
give me login events from ip 192.168.1.100 on firewall-01 since yesterday in db,login,last24h,*,database,192.168.1.100,firewall-01,*,*,action=login source=database src_ip=192.168.1.100 hostname=firewall-01 earliest=-24h latest=now,2025-10-04T08:23:26
find error events by user alice last 24 hours in firewall logs,error,last24h,alice,firewall,*,*,*,*,action=error user=alice source=firewall earliest=-24h latest=now,2025-10-04T00:23:26
pull up auth success events by user root this month in firewall,success,last30d,root,firewall,*,*,*,*,action=success user=root source=firewall earliest=-30d@d latest=now,2025-09-24T12:23:26
find access events by user admin past 60 minutes in db,access,last1h,admin,database,*,*,*,*,action=access user=admin source=database earliest=-60m latest=now,2025-10-04T12:04:26
show me crit connection events by user bob last hour in ssh,access,last1h,bob,ssh,*,*,critical,*,action=access user=bob source=ssh severity=critical earliest=-60m latest=now,2025-10-04T11:26:26
list file download events by user bob from ip 10.10.10.5 yesterday in secure shell,download,yesterday,bob,ssh,10.10.10.5,*,*,*,action=download user=bob source=ssh src_ip=10.10.10.5 earliest=@d-1d latest=@d,2025-10-03T17:47:26
give me sign off events by user jsmith last 24 hours in ssh,logout,last24h,jsmith,ssh,*,*,*,*,action=logout user=jsmith source=ssh earliest=-24h latest=now,2025-10-04T07:23:26
display informational crash events by user root in the last 24 hours in security log,error,today,root,auth,*,*,info,*,action=error user=root source=auth severity=info earliest=@d latest=now,2025-10-04T11:05:26
display request events by user anonymous with status 404 last 24 hours in database,access,last24h,anonymous,database,*,*,*,404,action=access user=anonymous source=database status_code=404 earliest=-24h latest=now,2025-10-03T13:23:26
show me informational login events by user bob this week in firewall logs,login,last7d,bob,firewall,*,*,info,*,action=login user=bob source=firewall severity=info earliest=-7d@d latest=now,2025-09-28T12:23:26
pull up failure events by user jsmith last 24 hours in windows,error,last24h,jsmith,windows,*,*,*,*,action=error user=jsmith source=windows earliest=-24h latest=now,2025-10-04T07:23:26
list successful login events by user bob this month in ssh,success,last30d,bob,ssh,*,*,*,*,action=success user=bob source=ssh earliest=-30d@d latest=now,2025-09-26T12:23:26
show me service restart events by user jsmith last 24 hours in firewall,restart,last24h,jsmith,firewall,*,*,*,*,action=restart user=jsmith source=firewall earliest=-24h latest=now,2025-10-04T04:23:26
show me crash events with status 500 today in firewall,error,today,*,firewall,*,*,*,500,action=error source=firewall status_code=500 earliest=@d latest=now,2025-10-04T03:47:26
display access events by user alice on firewall-01 with status 403 the previous day in server,access,yesterday,alice,host,*,firewall-01,*,403,action=access user=alice source=host hostname=firewall-01 status_code=403 earliest=@d-1d latest=@d,2025-10-03T22:57:26
give me failed login events by user admin last 24 hours in server,failure,last24h,admin,host,*,*,*,*,action=failure user=admin source=host earliest=-24h latest=now,2025-10-04T10:23:26
give me service restart events by user admin last hour in file system,restart,last1h,admin,filesystem,*,*,*,*,action=restart user=admin source=filesystem earliest=-60m latest=now,2025-10-04T12:17:26
find informational delete events by user bob on db-prod-02 with status 200 since midnight in filesystem,deletion,today,bob,filesystem,*,db-prod-02,info,200,action=deletion user=bob source=filesystem hostname=db-prod-02 severity=info status_code=200 earliest=@d latest=now,2025-10-04T07:28:26
find error logout events by user bob on app-server-03 today in host,logout,today,bob,host,*,app-server-03,error,*,action=logout user=bob source=host hostname=app-server-03 severity=error earliest=@d latest=now,2025-10-04T02:08:26
pull up file upload events by user admin from ip 192.168.0.1 yesterday in windows,upload,yesterday,admin,windows,192.168.0.1,*,*,*,action=upload user=admin source=windows src_ip=192.168.0.1 earliest=@d-1d latest=@d,2025-10-03T17:08:26
show me logout events by user root from ip 192.168.1.100 since yesterday in host,logout,last24h,root,host,192.168.1.100,*,*,*,action=logout user=root source=host src_ip=192.168.1.100 earliest=-24h latest=now,2025-10-03T22:23:26
give me service restart events by user alice from ip 192.168.0.1 this week in nginx,restart,last7d,alice,web,192.168.0.1,*,*,*,action=restart user=alice source=web src_ip=192.168.0.1 earliest=-7d@d latest=now,2025-09-29T12:23:26
display file deletion events by user root from ip 172.16.0.50 with status 200 since yesterday in db,deletion,last24h,root,database,172.16.0.50,*,*,200,action=deletion user=root source=database src_ip=172.16.0.50 status_code=200 earliest=-24h latest=now,2025-10-04T12:23:26
pull up auth success events by user jsmith this month in server,success,last30d,jsmith,host,*,*,*,*,action=success user=jsmith source=host earliest=-30d@d latest=now,2025-09-15T12:23:26
pull up file deletion events by user root on load-balancer past 60 minutes in server,deletion,last1h,root,host,*,load-balancer,*,*,action=deletion user=root source=host hostname=load-balancer earliest=-60m latest=now,2025-10-04T11:56:26
display failure events by user alice on db-prod-02 with status 502 in the last 24 hours in db,error,today,alice,database,*,db-prod-02,*,502,action=error user=alice source=database hostname=db-prod-02 status_code=502 earliest=@d latest=now,2025-10-04T00:05:26
pull up crit logout events by user anonymous on db-prod-02 yesterday in authentication log,logout,yesterday,anonymous,auth,*,db-prod-02,critical,*,action=logout user=anonymous source=auth hostname=db-prod-02 severity=critical earliest=@d-1d latest=@d,2025-10-03T19:23:26
list file download events this week in web server,download,last7d,*,web,*,*,*,*,action=download source=web earliest=-7d@d latest=now,2025-10-02T12:23:26
give me download events by user bob past week in security log,download,last7d,bob,auth,*,*,*,*,action=download user=bob source=auth earliest=-7d@d latest=now,2025-10-03T12:23:26
pull up auth success events by user root from ip 192.168.0.1 since yesterday in web server,success,last24h,root,web,192.168.0.1,*,*,*,action=success user=root source=web src_ip=192.168.0.1 earliest=-24h latest=now,2025-10-03T17:23:26
pull up login failure events with status 404 yesterday in network security,failure,yesterday,*,firewall,*,*,*,404,action=failure source=firewall status_code=404 earliest=@d-1d latest=@d,2025-10-03T11:35:26
pull up logout events by user root last 24 hours in db,logout,last24h,root,database,*,*,*,*,action=logout user=root source=database earliest=-24h latest=now,2025-10-04T01:23:26
list failed login events by user anonymous from ip 192.168.1.100 the previous day in auth log,failure,yesterday,anonymous,auth,192.168.1.100,*,*,*,action=failure user=anonymous source=auth src_ip=192.168.1.100 earliest=@d-1d latest=@d,2025-10-03T11:53:26
list info restart events by user jsmith on load-balancer since midnight in firewall,restart,today,jsmith,firewall,*,load-balancer,info,*,action=restart user=jsmith source=firewall hostname=load-balancer severity=info earliest=@d latest=now,2025-10-04T04:12:26
list crash events with status 502 last 30 days in nginx,error,last30d,*,web,*,*,*,502,action=error source=web status_code=502 earliest=-30d@d latest=now,2025-09-26T12:23:26
display failed login events on app-server-03 in the last 24 hours in host,failure,today,*,host,*,app-server-03,*,*,action=failure source=host hostname=app-server-03 earliest=@d latest=now,2025-10-04T02:21:26
list file upload events yesterday in firewall,upload,yesterday,*,firewall,*,*,*,*,action=upload source=firewall earliest=@d-1d latest=@d,2025-10-03T04:48:26
pull up auth success events by user alice from ip 192.168.0.1 last 7 days in filesystem,success,last7d,alice,filesystem,192.168.0.1,*,*,*,action=success user=alice source=filesystem src_ip=192.168.0.1 earliest=-7d@d latest=now,2025-09-29T12:23:26
list download events by user anonymous with status 403 last 24 hours in web server,download,last24h,anonymous,web,*,*,*,403,action=download user=anonymous source=web status_code=403 earliest=-24h latest=now,2025-10-04T01:23:26
find auth success events by user admin on firewall-01 this week in ssh,success,last7d,admin,ssh,*,firewall-01,*,*,action=success user=admin source=ssh hostname=firewall-01 earliest=-7d@d latest=now,2025-10-01T12:23:26
list connection events by user root last 24 hours in database,access,last24h,root,database,*,*,*,*,action=access user=root source=database earliest=-24h latest=now,2025-10-03T18:23:26
show me info connection events by user anonymous last 24 hours in apache,access,last24h,anonymous,web,*,*,info,*,action=access user=anonymous source=web severity=info earliest=-24h latest=now,2025-10-04T00:23:26
pull up sign off events by user root with status 503 past 60 minutes in authentication log,logout,last1h,root,auth,*,*,*,503,action=logout user=root source=auth status_code=503 earliest=-60m latest=now,2025-10-04T12:03:26
list emergency auth failure events by user root on web-server-01 the previous day in windows,failure,yesterday,root,windows,*,web-server-01,critical,*,action=failure user=root source=windows hostname=web-server-01 severity=critical earliest=@d-1d latest=@d,2025-10-03T16:18:26
pull up crit file download events by user admin from ip 10.0.0.1 with status 502 in the last 24 hours in secure shell,download,today,admin,ssh,10.0.0.1,*,critical,502,action=download user=admin source=ssh src_ip=10.0.0.1 severity=critical status_code=502 earliest=@d latest=now,2025-10-04T03:56:26
display informational file deletion events by user jsmith the previous day in database,deletion,yesterday,jsmith,database,*,*,info,*,action=deletion user=jsmith source=database severity=info earliest=@d-1d latest=@d,2025-10-03T14:42:26
find upload events by user alice last 30 days in windows event log,upload,last30d,alice,windows,*,*,*,*,action=upload user=alice source=windows earliest=-30d@d latest=now,2025-09-06T12:23:26
pull up info successful login events by user alice past 60 minutes in security log,success,last1h,alice,auth,*,*,info,*,action=success user=alice source=auth severity=info earliest=-60m latest=now,2025-10-04T11:32:26
pull up file download events by user anonymous with status 500 this week in security log,download,last7d,anonymous,auth,*,*,*,500,action=download user=anonymous source=auth status_code=500 earliest=-7d@d latest=now,2025-10-04T12:23:26
display file deletion events by user anonymous this week in windows event log,deletion,last7d,anonymous,windows,*,*,*,*,action=deletion user=anonymous source=windows earliest=-7d@d latest=now,2025-10-02T12:23:26
find informational download events by user anonymous from ip 10.0.0.1 with status 200 since yesterday in database,download,last24h,anonymous,database,10.0.0.1,*,info,200,action=download user=anonymous source=database src_ip=10.0.0.1 severity=info status_code=200 earliest=-24h latest=now,2025-10-04T00:23:26
find delete events this week in filesystem,deletion,last7d,*,filesystem,*,*,*,*,action=deletion source=filesystem earliest=-7d@d latest=now,2025-09-28T12:23:26
display auth success events by user anonymous from ip 192.168.0.1 today in ssh,success,today,anonymous,ssh,192.168.0.1,*,*,*,action=success user=anonymous source=ssh src_ip=192.168.0.1 earliest=@d latest=now,2025-10-04T03:36:26
show me upload events by user jsmith from ip 10.10.10.5 on load-balancer past 60 minutes in firewall,upload,last1h,jsmith,firewall,10.10.10.5,load-balancer,*,*,action=upload user=jsmith source=firewall src_ip=10.10.10.5 hostname=load-balancer earliest=-60m latest=now,2025-10-04T11:57:26
find error events by user anonymous last 7 days in secure shell,error,last7d,anonymous,ssh,*,*,*,*,action=error user=anonymous source=ssh earliest=-7d@d latest=now,2025-09-28T12:23:26
find authentication events the previous day in secure shell,login,yesterday,*,ssh,*,*,*,*,action=login source=ssh earliest=@d-1d latest=@d,2025-10-03T13:19:26
pull up upload events by user alice with status 500 yesterday in windows event log,upload,yesterday,alice,windows,*,*,*,500,action=upload user=alice source=windows status_code=500 earliest=@d-1d latest=@d,2025-10-03T08:53:26
display access events past 60 minutes in security log,access,last1h,*,auth,*,*,*,*,action=access source=auth earliest=-60m latest=now,2025-10-04T11:51:26
show me successful login events by user bob this week in web server,success,last7d,bob,web,*,*,*,*,action=success user=bob source=web earliest=-7d@d latest=now,2025-10-01T12:23:26
show me informational logins events by user anonymous in the last 24 hours in host,login,today,anonymous,host,*,*,info,*,action=login user=anonymous source=host severity=info earliest=@d latest=now,2025-10-04T01:57:26
show me failure events by user anonymous yesterday in authentication log,error,yesterday,anonymous,auth,*,*,*,*,action=error user=anonymous source=auth earliest=@d-1d latest=@d,2025-10-03T04:48:26
display file download events by user root yesterday in ssh,download,yesterday,root,ssh,*,*,*,*,action=download user=root source=ssh earliest=@d-1d latest=@d,2025-10-03T05:15:26
find file upload events by user anonymous with status 503 today in network security,upload,today,anonymous,firewall,*,*,*,503,action=upload user=anonymous source=firewall status_code=503 earliest=@d latest=now,2025-10-04T05:56:26
display connection events by user root the previous day in windows,access,yesterday,root,windows,*,*,*,*,action=access user=root source=windows earliest=@d-1d latest=@d,2025-10-03T18:35:26
find info upload events by user jsmith the previous day in db,upload,yesterday,jsmith,database,*,*,info,*,action=upload user=jsmith source=database severity=info earliest=@d-1d latest=@d,2025-10-03T08:05:26
find successful login events by user anonymous on web-server-01 this month in file system,success,last30d,anonymous,filesystem,*,web-server-01,*,*,action=success user=anonymous source=filesystem hostname=web-server-01 earliest=-30d@d latest=now,2025-09-25T12:23:26
find file download events by user bob yesterday in machine,download,yesterday,bob,host,*,*,*,*,action=download user=bob source=host earliest=@d-1d latest=@d,2025-10-03T20:30:26
pull up file download events by user jsmith on load-balancer with status 500 this week in windows event log,download,last7d,jsmith,windows,*,load-balancer,*,500,action=download user=jsmith source=windows hostname=load-balancer status_code=500 earliest=-7d@d latest=now,2025-10-02T12:23:26
display restart events by user bob last hour in ssh,restart,last1h,bob,ssh,*,*,*,*,action=restart user=bob source=ssh earliest=-60m latest=now,2025-10-04T11:48:26
find successful login events by user alice from ip 192.168.0.1 yesterday in auth log,success,yesterday,alice,auth,192.168.0.1,*,*,*,action=success user=alice source=auth src_ip=192.168.0.1 earliest=@d-1d latest=@d,2025-10-03T15:55:26
display access events this month in host,access,last30d,*,host,*,*,*,*,action=access source=host earliest=-30d@d latest=now,2025-09-24T12:23:26
