nl_query,action,time,user,source,src_ip,hostname,severity,status_code,structured_query,event_ts
give me crash events by user root with status 200 since midnight in server,error,today,root,host,*,*,*,200,action=error user=root source=host status_code=200 earliest=@d latest=now,2025-10-04T10:13:39
pull up error auth failure events by user anonymous on app-server-03 the previous day in db,failure,yesterday,anonymous,database,*,app-server-03,error,*,action=failure user=anonymous source=database hostname=app-server-03 severity=error earliest=@d-1d latest=@d,2025-10-03T06:28:39
show me error events by user root last 24 hours in filesystem,error,last24h,root,filesystem,*,*,*,*,action=error user=root source=filesystem earliest=-24h latest=now,2025-10-04T05:08:39
give me warning auth failure events by user anonymous this week in db,failure,last7d,anonymous,database,*,*,warning,*,action=failure user=anonymous source=database severity=warning earliest=-7d@d latest=now,2025-09-30T12:08:39
give me download events from ip 10.10.10.5 with status 403 since midnight in filesystem,download,today,*,filesystem,10.10.10.5,*,*,403,action=download source=filesystem src_ip=10.10.10.5 status_code=403 earliest=@d latest=now,2025-10-04T04:14:39
display logout events by user jsmith last 24 hours in server,logout,last24h,jsmith,host,*,*,*,*,action=logout user=jsmith source=host earliest=-24h latest=now,2025-10-04T12:08:39
pull up crit service restart events by user root past 60 minutes in filesystem,restart,last1h,root,filesystem,*,*,critical,*,action=restart user=root source=filesystem severity=critical earliest=-60m latest=now,2025-10-04T11:27:39
show me logins events by user anonymous on firewall-01 with status 404 the previous day in host,login,yesterday,anonymous,host,*,firewall-01,*,404,action=login user=anonymous source=host hostname=firewall-01 status_code=404 earliest=@d-1d latest=@d,2025-10-03T17:56:39
show me sign off events with status 503 yesterday in server,logout,yesterday,*,host,*,*,*,503,action=logout source=host status_code=503 earliest=@d-1d latest=@d,2025-10-03T12:50:39
list warning connection events by user jsmith last 30 days in server,access,last30d,jsmith,host,*,*,warning,*,action=access user=jsmith source=host severity=warning earliest=-30d@d latest=now,2025-09-14T12:08:39
show me file deletion events by user bob from ip 172.16.0.50 since midnight in host,deletion,today,bob,host,172.16.0.50,*,*,*,action=deletion user=bob source=host src_ip=172.16.0.50 earliest=@d latest=now,2025-10-04T11:10:39
give me warning failed login events by user jsmith from ip 10.10.10.5 today in ssh,failure,today,jsmith,ssh,10.10.10.5,*,warning,*,action=failure user=jsmith source=ssh src_ip=10.10.10.5 severity=warning earliest=@d latest=now,2025-10-04T04:13:39
give me login failure events by user anonymous this week in server,failure,last7d,anonymous,host,*,*,*,*,action=failure user=anonymous source=host earliest=-7d@d latest=now,2025-10-02T12:08:39
give me informational service restart events by user jsmith this week in apache,restart,last7d,jsmith,web,*,*,info,*,action=restart user=jsmith source=web severity=info earliest=-7d@d latest=now,2025-09-28T12:08:39
show me sign off events by user anonymous with status 503 the previous day in auth log,logout,yesterday,anonymous,auth,*,*,*,503,action=logout user=anonymous source=auth status_code=503 earliest=@d-1d latest=@d,2025-10-03T07:38:39
find request events by user bob this month in secure shell,access,last30d,bob,ssh,*,*,*,*,action=access user=bob source=ssh earliest=-30d@d latest=now,2025-09-10T12:08:39
show me delete events with status 200 this month in filesystem,deletion,last30d,*,filesystem,*,*,*,200,action=deletion source=filesystem status_code=200 earliest=-30d@d latest=now,2025-09-15T12:08:39
display err auth failure events by user anonymous from ip 10.0.0.1 with status 200 this month in nginx,failure,last30d,anonymous,web,10.0.0.1,*,error,200,action=failure user=anonymous source=web src_ip=10.0.0.1 severity=error status_code=200 earliest=-30d@d latest=now,2025-09-09T12:08:39
find error events on load-balancer past 60 minutes in file system,error,last1h,*,filesystem,*,load-balancer,*,*,action=error source=filesystem hostname=load-balancer earliest=-60m latest=now,2025-10-04T11:28:39
find successful login events by user jsmith from ip 10.10.10.5 with status 502 this month in ssh,success,last30d,jsmith,ssh,10.10.10.5,*,*,502,action=success user=jsmith source=ssh src_ip=10.10.10.5 status_code=502 earliest=-30d@d latest=now,2025-09-18T12:08:39
give me logout events by user jsmith from ip 192.168.1.100 with status 500 in the last 24 hours in nginx,logout,today,jsmith,web,192.168.1.100,*,*,500,action=logout user=jsmith source=web src_ip=192.168.1.100 status_code=500 earliest=@d latest=now,2025-10-04T09:24:39
give me login failure events by user root from ip 10.10.10.5 today in apache,failure,today,root,web,10.10.10.5,*,*,*,action=failure user=root source=web src_ip=10.10.10.5 earliest=@d latest=now,2025-10-04T05:39:39
give me restart events by user root last 30 days in filesystem,restart,last30d,root,filesystem,*,*,*,*,action=restart user=root source=filesystem earliest=-30d@d latest=now,2025-10-02T12:08:39
show me sign off events by user anonymous this month in file system,logout,last30d,anonymous,filesystem,*,*,*,*,action=logout user=anonymous source=filesystem earliest=-30d@d latest=now,2025-09-12T12:08:39
pull up successful login events from ip 10.0.0.1 last hour in apache,success,last1h,*,web,10.0.0.1,*,*,*,action=success source=web src_ip=10.0.0.1 earliest=-60m latest=now,2025-10-04T11:10:39
display file download events by user root from ip 172.16.0.50 on db-prod-02 since yesterday in file system,download,last24h,root,filesystem,172.16.0.50,db-prod-02,*,*,action=download user=root source=filesystem src_ip=172.16.0.50 hostname=db-prod-02 earliest=-24h latest=now,2025-10-04T02:08:39
find successful login events by user anonymous the previous day in secure shell,success,yesterday,anonymous,ssh,*,*,*,*,action=success user=anonymous source=ssh earliest=@d-1d latest=@d,2025-10-03T08:10:39
give me download events by user jsmith past week in apache,download,last7d,jsmith,web,*,*,*,*,action=download user=jsmith source=web earliest=-7d@d latest=now,2025-10-03T12:08:39
give me sign off events from ip 172.16.0.50 last hour in web server,logout,last1h,*,web,172.16.0.50,*,*,*,action=logout source=web src_ip=172.16.0.50 earliest=-60m latest=now,2025-10-04T11:26:39
find warn connection events from ip 192.168.0.1 today in machine,access,today,*,host,192.168.0.1,*,warning,*,action=access source=host src_ip=192.168.0.1 severity=warning earliest=@d latest=now,2025-10-04T10:04:39
list auth failure events by user anonymous on app-server-03 last 24 hours in web server,failure,last24h,anonymous,web,*,app-server-03,*,*,action=failure user=anonymous source=web hostname=app-server-03 earliest=-24h latest=now,2025-10-03T21:08:39
find emergency successful login events by user anonymous with status 200 past week in filesystem,success,last7d,anonymous,filesystem,*,*,critical,200,action=success user=anonymous source=filesystem severity=critical status_code=200 earliest=-7d@d latest=now,2025-09-30T12:08:39
list download events by user jsmith today in ssh,download,today,jsmith,ssh,*,*,*,*,action=download user=jsmith source=ssh earliest=@d latest=now,2025-10-04T08:35:39
give me auth failure events from ip 10.0.0.1 on firewall-01 with status 503 this month in server,failure,last30d,*,host,10.0.0.1,firewall-01,*,503,action=failure source=host src_ip=10.0.0.1 hostname=firewall-01 status_code=503 earliest=-30d@d latest=now,2025-09-24T12:08:39
find warn delete events by user anonymous from ip 10.10.10.5 last hour in nginx,deletion,last1h,anonymous,web,10.10.10.5,*,warning,*,action=deletion user=anonymous source=web src_ip=10.10.10.5 severity=warning earliest=-60m latest=now,2025-10-04T12:00:39
list file upload events by user bob with status 502 past 60 minutes in host,upload,last1h,bob,host,*,*,*,502,action=upload user=bob source=host status_code=502 earliest=-60m latest=now,2025-10-04T11:22:39
pull up critical failure events by user admin from ip 192.168.0.1 last 7 days in secure shell,error,last7d,admin,ssh,192.168.0.1,*,critical,*,action=error user=admin source=ssh src_ip=192.168.0.1 severity=critical earliest=-7d@d latest=now,2025-10-03T12:08:39
list crit successful login events by user anonymous last hour in ssh,success,last1h,anonymous,ssh,*,*,critical,*,action=success user=anonymous source=ssh severity=critical earliest=-60m latest=now,2025-10-04T11:44:39
show me auth success events by user admin last hour in db,success,last1h,admin,database,*,*,*,*,action=success user=admin source=database earliest=-60m latest=now,2025-10-04T11:33:39
list auth success events by user root with status 500 in the last 24 hours in nginx,success,today,root,web,*,*,*,500,action=success user=root source=web status_code=500 earliest=@d latest=now,2025-10-04T09:29:39
pull up download events by user alice past 60 minutes in db,download,last1h,alice,database,*,*,*,*,action=download user=alice source=database earliest=-60m latest=now,2025-10-04T11:15:39
give me info auth success events by user jsmith with status 200 last 7 days in nginx,success,last7d,jsmith,web,*,*,info,200,action=success user=jsmith source=web severity=info status_code=200 earliest=-7d@d latest=now,2025-10-03T12:08:39
list crash events by user alice from ip 10.10.10.5 today in web server,error,today,alice,web,10.10.10.5,*,*,*,action=error user=alice source=web src_ip=10.10.10.5 earliest=@d latest=now,2025-10-04T04:30:39
give me err connection events by user root last hour in filesystem,access,last1h,root,filesystem,*,*,error,*,action=access user=root source=filesystem severity=error earliest=-60m latest=now,2025-10-04T11:56:39
show me err restart events by user bob with status 500 last 7 days in server,restart,last7d,bob,host,*,*,error,500,action=restart user=bob source=host severity=error status_code=500 earliest=-7d@d latest=now,2025-10-01T12:08:39
find crash events by user root from ip 172.16.0.50 in the last 24 hours in machine,error,today,root,host,172.16.0.50,*,*,*,action=error user=root source=host src_ip=172.16.0.50 earliest=@d latest=now,2025-10-04T03:01:39
give me file download events by user bob from ip 192.168.1.100 on app-server-03 since midnight in machine,download,today,bob,host,192.168.1.100,app-server-03,*,*,action=download user=bob source=host src_ip=192.168.1.100 hostname=app-server-03 earliest=@d latest=now,2025-10-04T06:14:39
give me service restart events by user alice this week in file system,restart,last7d,alice,filesystem,*,*,*,*,action=restart user=alice source=filesystem earliest=-7d@d latest=now,2025-10-03T12:08:39
list info logins events by user root the previous day in db,login,yesterday,root,database,*,*,info,*,action=login user=root source=database severity=info earliest=@d-1d latest=@d,2025-10-03T07:28:39
pull up error successful login events by user root on load-balancer last 24 hours in nginx,success,last24h,root,web,*,load-balancer,error,*,action=success user=root source=web hostname=load-balancer severity=error earliest=-24h latest=now,2025-10-03T20:08:39
display auth failure events by user root past 60 minutes in database,failure,last1h,root,database,*,*,*,*,action=failure user=root source=database earliest=-60m latest=now,2025-10-04T11:50:39
show me service restart events on load-balancer last 24 hours in apache,restart,last24h,*,web,*,load-balancer,*,*,action=restart source=web hostname=load-balancer earliest=-24h latest=now,2025-10-03T20:08:39
display warning logins events by user root last 30 days in nginx,login,last30d,root,web,*,*,warning,*,action=login user=root source=web severity=warning earliest=-30d@d latest=now,2025-09-25T12:08:39
display failed login events by user root with status 404 last 7 days in file system,failure,last7d,root,filesystem,*,*,*,404,action=failure user=root source=filesystem status_code=404 earliest=-7d@d latest=now,2025-09-30T12:08:39
list file deletion events by user anonymous with status 503 the previous day in machine,deletion,yesterday,anonymous,host,*,*,*,503,action=deletion user=anonymous source=host status_code=503 earliest=@d-1d latest=@d,2025-10-03T18:31:39
display warning login events by user anonymous last 7 days in ssh,login,last7d,anonymous,ssh,*,*,warning,*,action=login user=anonymous source=ssh severity=warning earliest=-7d@d latest=now,2025-10-03T12:08:39
pull up crash events by user jsmith on app-server-03 past week in secure shell,error,last7d,jsmith,ssh,*,app-server-03,*,*,action=error user=jsmith source=ssh hostname=app-server-03 earliest=-7d@d latest=now,2025-10-02T12:08:39
show me informational download events by user jsmith past week in authentication log,download,last7d,jsmith,auth,*,*,info,*,action=download user=jsmith source=auth severity=info earliest=-7d@d latest=now,2025-10-01T12:08:39
pull up info file deletion events by user jsmith with status 502 yesterday in filesystem,deletion,yesterday,jsmith,filesystem,*,*,info,502,action=deletion user=jsmith source=filesystem severity=info status_code=502 earliest=@d-1d latest=@d,2025-10-03T03:02:39
give me emergency successful login events by user alice since yesterday in server,success,last24h,alice,host,*,*,critical,*,action=success user=alice source=host severity=critical earliest=-24h latest=now,2025-10-03T18:08:39
give me emergency file deletion events by user jsmith from ip 172.16.0.50 on web-server-01 yesterday in secure shell,deletion,yesterday,jsmith,ssh,172.16.0.50,web-server-01,critical,*,action=deletion user=jsmith source=ssh src_ip=172.16.0.50 hostname=web-server-01 severity=critical earliest=@d-1d latest=@d,2025-10-03T19:57:39
give me service restart events by user jsmith last hour in auth log,restart,last1h,jsmith,auth,*,*,*,*,action=restart user=jsmith source=auth earliest=-60m latest=now,2025-10-04T11:56:39
give me logout events with status 200 since yesterday in secure shell,logout,last24h,*,ssh,*,*,*,200,action=logout source=ssh status_code=200 earliest=-24h latest=now,2025-10-03T19:08:39
show me sign off events by user bob this week in nginx,logout,last7d,bob,web,*,*,*,*,action=logout user=bob source=web earliest=-7d@d latest=now,2025-09-29T12:08:39
pull up restart events by user alice the previous day in apache,restart,yesterday,alice,web,*,*,*,*,action=restart user=alice source=web earliest=@d-1d latest=@d,2025-10-03T05:27:39
pull up file deletion events by user jsmith on web-server-01 last 7 days in db,deletion,last7d,jsmith,database,*,web-server-01,*,*,action=deletion user=jsmith source=database hostname=web-server-01 earliest=-7d@d latest=now,2025-10-03T12:08:39
show me error authentication events by user jsmith from ip 10.10.10.5 with status 502 yesterday in secure shell,login,yesterday,jsmith,ssh,10.10.10.5,*,error,502,action=login user=jsmith source=ssh src_ip=10.10.10.5 severity=error status_code=502 earliest=@d-1d latest=@d,2025-10-03T07:35:39
show me file deletion events by user anonymous the previous day in security log,deletion,yesterday,anonymous,auth,*,*,*,*,action=deletion user=anonymous source=auth earliest=@d-1d latest=@d,2025-10-03T10:00:39
display access events by user alice from ip 192.168.0.1 with status 404 since midnight in database,access,today,alice,database,192.168.0.1,*,*,404,action=access user=alice source=database src_ip=192.168.0.1 status_code=404 earliest=@d latest=now,2025-10-04T08:14:39
list failure events by user anonymous this month in file system,error,last30d,anonymous,filesystem,*,*,*,*,action=error user=anonymous source=filesystem earliest=-30d@d latest=now,2025-09-13T12:08:39
give me request events by user alice yesterday in apache,access,yesterday,alice,web,*,*,*,*,action=access user=alice source=web earliest=@d-1d latest=@d,2025-10-03T19:06:39
list failed login events by user alice past 60 minutes in machine,failure,last1h,alice,host,*,*,*,*,action=failure user=alice source=host earliest=-60m latest=now,2025-10-04T11:52:39
pull up failed login events by user anonymous today in host,failure,today,anonymous,host,*,*,*,*,action=failure user=anonymous source=host earliest=@d latest=now,2025-10-04T06:01:39
show me file upload events by user admin on db-prod-02 with status 200 today in host,upload,today,admin,host,*,db-prod-02,*,200,action=upload user=admin source=host hostname=db-prod-02 status_code=200 earliest=@d latest=now,2025-10-04T10:42:39
give me login events by user bob with status 503 since yesterday in file system,login,last24h,bob,filesystem,*,*,*,503,action=login user=bob source=filesystem status_code=503 earliest=-24h latest=now,2025-10-03T18:08:39
give me successful login events on load-balancer with status 502 last hour in db,success,last1h,*,database,*,load-balancer,*,502,action=success source=database hostname=load-balancer status_code=502 earliest=-60m latest=now,2025-10-04T12:07:39
list authentication events by user bob on app-server-03 yesterday in auth log,login,yesterday,bob,auth,*,app-server-03,*,*,action=login user=bob source=auth hostname=app-server-03 earliest=@d-1d latest=@d,2025-10-03T23:43:39
pull up failed login events past 60 minutes in database,failure,last1h,*,database,*,*,*,*,action=failure source=database earliest=-60m latest=now,2025-10-04T11:33:39
find err logout events past 60 minutes in authentication log,logout,last1h,*,auth,*,*,error,*,action=logout source=auth severity=error earliest=-60m latest=now,2025-10-04T11:20:39
display err authentication events by user root since yesterday in db,login,last24h,root,database,*,*,error,*,action=login user=root source=database severity=error earliest=-24h latest=now,2025-10-03T13:08:39
find download events by user alice past week in server,download,last7d,alice,host,*,*,*,*,action=download user=alice source=host earliest=-7d@d latest=now,2025-09-28T12:08:39
display failed login events by user root on app-server-03 past 60 minutes in authentication log,failure,last1h,root,auth,*,app-server-03,*,*,action=failure user=root source=auth hostname=app-server-03 earliest=-60m latest=now,2025-10-04T11:44:39
display restart events by user jsmith from ip 10.0.0.1 this month in apache,restart,last30d,jsmith,web,10.0.0.1,*,*,*,action=restart user=jsmith source=web src_ip=10.0.0.1 earliest=-30d@d latest=now,2025-09-30T12:08:39
give me request events by user anonymous on app-server-03 since yesterday in web server,access,last24h,anonymous,web,*,app-server-03,*,*,action=access user=anonymous source=web hostname=app-server-03 earliest=-24h latest=now,2025-10-03T21:08:39
show me successful login events by user bob from ip 10.0.0.1 on load-balancer with status 500 last 7 days in security log,success,last7d,bob,auth,10.0.0.1,load-balancer,*,500,action=success user=bob source=auth src_ip=10.0.0.1 hostname=load-balancer status_code=500 earliest=-7d@d latest=now,2025-10-02T12:08:39
find emergency restart events by user anonymous from ip 192.168.1.100 since yesterday in server,restart,last24h,anonymous,host,192.168.1.100,*,critical,*,action=restart user=anonymous source=host src_ip=192.168.1.100 severity=critical earliest=-24h latest=now,2025-10-03T16:08:39
pull up delete events by user anonymous last 24 hours in apache,deletion,last24h,anonymous,web,*,*,*,*,action=deletion user=anonymous source=web earliest=-24h latest=now,2025-10-04T12:08:39
display crit access events by user admin yesterday in secure shell,access,yesterday,admin,ssh,*,*,critical,*,action=access user=admin source=ssh severity=critical earliest=@d-1d latest=@d,2025-10-03T20:15:39
show me warning authentication events by user admin past week in auth log,login,last7d,admin,auth,*,*,warning,*,action=login user=admin source=auth severity=warning earliest=-7d@d latest=now,2025-10-03T12:08:39
pull up auth failure events by user root this month in authentication log,failure,last30d,root,auth,*,*,*,*,action=failure user=root source=auth earliest=-30d@d latest=now,2025-09-11T12:08:39
list successful login events by user jsmith from ip 10.10.10.5 yesterday in security log,success,yesterday,jsmith,auth,10.10.10.5,*,*,*,action=success user=jsmith source=auth src_ip=10.10.10.5 earliest=@d-1d latest=@d,2025-10-03T01:16:39
list delete events by user bob on db-prod-02 yesterday in ssh,deletion,yesterday,bob,ssh,*,db-prod-02,*,*,action=deletion user=bob source=ssh hostname=db-prod-02 earliest=@d-1d latest=@d,2025-10-03T15:29:39
show me emergency error events by user anonymous this week in file system,error,last7d,anonymous,filesystem,*,*,critical,*,action=error user=anonymous source=filesystem severity=critical earliest=-7d@d latest=now,2025-09-28T12:08:39
display restart events by user alice last 24 hours in authentication log,restart,last24h,alice,auth,*,*,*,*,action=restart user=alice source=auth earliest=-24h latest=now,2025-10-03T21:08:39
display err file download events by user jsmith the previous day in filesystem,download,yesterday,jsmith,filesystem,*,*,error,*,action=download user=jsmith source=filesystem severity=error earliest=@d-1d latest=@d,2025-10-03T12:17:39
pull up access events by user jsmith with status 403 today in authentication log,access,today,jsmith,auth,*,*,*,403,action=access user=jsmith source=auth status_code=403 earliest=@d latest=now,2025-10-04T09:18:39
display restart events by user anonymous on web-server-01 with status 503 today in machine,restart,today,anonymous,host,*,web-server-01,*,503,action=restart user=anonymous source=host hostname=web-server-01 status_code=503 earliest=@d latest=now,2025-10-04T07:45:39
display request events by user anonymous today in apache,access,today,anonymous,web,*,*,*,*,action=access user=anonymous source=web earliest=@d latest=now,2025-10-04T02:28:39
pull up auth success events by user anonymous since yesterday in secure shell,success,last24h,anonymous,ssh,*,*,*,*,action=success user=anonymous source=ssh earliest=-24h latest=now,2025-10-04T00:08:39
show me file upload events by user alice past 60 minutes in secure shell,upload,last1h,alice,ssh,*,*,*,*,action=upload user=alice source=ssh earliest=-60m latest=now,2025-10-04T11:34:39
show me logout events by user alice yesterday in file system,logout,yesterday,alice,filesystem,*,*,*,*,action=logout user=alice source=filesystem earliest=@d-1d latest=@d,2025-10-03T07:30:39
list auth success events by user root from ip 192.168.1.100 on web-server-01 this week in filesystem,success,last7d,root,filesystem,192.168.1.100,web-server-01,*,*,action=success user=root source=filesystem src_ip=192.168.1.100 hostname=web-server-01 earliest=-7d@d latest=now,2025-10-01T12:08:39
